SKU,breadcrumbs,categories,desc,name,price,product_url,stock,tags
2571,Home|Pokemon|Moltres,"Flame,Pokemon","Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",Moltres,178.00,https://scrapeme.live/shop/Moltres/,208,"Flame,moltres,Pressure"
7213,Home|Pokemon|Zapdos,"Electric,Pokemon",Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,Zapdos,133.00,https://scrapeme.live/shop/Zapdos/,265,"Electric,Pressure,zapdos"
9883,Home|Sleeping|Snorlax,"Pokemon,Sleeping",Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,Snorlax,134.00,https://scrapeme.live/shop/Snorlax/,260,"Sleeping,snorlax,Thick Fat"
6040,Home|Pokemon|Articuno,"Freeze,Pokemon","Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",Articuno,77.00,https://scrapeme.live/shop/Articuno/,101,"articuno,Freeze,Pressure"
1801,Home|Pokemon|Aerodactyl,"Fossil,Pokemon",Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,Aerodactyl,56.00,https://scrapeme.live/shop/Aerodactyl/,257,"aerodactyl,Fossil,Rock Head"
4736,Home|Shellfish|Kabutops,"Pokemon,Shellfish",Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,Kabutops,57.00,https://scrapeme.live/shop/Kabutops/,228,"kabutops,Shellfish,Swift Swim"
9584,Home|Shellfish|Kabuto,"Pokemon,Shellfish","Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",Kabuto,79.00,https://scrapeme.live/shop/Kabuto/,187,"kabuto,Shellfish,Swift Swim"
3283,Home|Spiral|Omastar,"Pokemon,Spiral","Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.",Omastar,61.00,https://scrapeme.live/shop/Omastar/,249,"omastar,Shell Armor,Spiral"
4383,Home|Pokemon|Diglett,"Mole,Pokemon","Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",Diglett,122.00,https://scrapeme.live/shop/Diglett/,227,"diglett,Mole,Sand Veil"
2333,Home|River Crab|Krabby,"Pokemon,River Crab","Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",Krabby,64.00,https://scrapeme.live/shop/Krabby/,147,"krabby,River Crab,Shell Armor"
3530,Home|Vine|Tangela,"Pokemon,Vine","Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",Tangela,64.00,https://scrapeme.live/shop/Tangela/,91,"Chlorophyll,tangela,Vine"
9506,Home|Superpower|Machop,"Pokemon,Superpower",Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,Machop,166.00,https://scrapeme.live/shop/Machop/,173,"Guts,machop,Superpower"
5934,Home|Pokemon|Magneton,"Magnet,Pokemon","Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",Magneton,191.00,https://scrapeme.live/shop/Magneton/,152,"Magnet,magneton,Sturdy"
9629,Home|Pokemon|Gyarados,"Atrocious,Pokemon","Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.",Gyarados,79.00,https://scrapeme.live/shop/Gyarados/,100,"Atrocious,gyarados,Intimidate"
